Date,Open,High,Low,Close,Volume,Volatility,Relative Volume,PCT
1/3/17,28.95,29.08,28.69,29.04,115127456,0.151822265,0.3481731,-0.00137741
1/4/17,28.96,29.13,28.94,29,84472464,0.073950997,0.255465035,0.005172414
1/5/17,28.98,29.22,28.95,29.15,88774352,0.113247517,0.268474979,0.011320755
1/6/17,29.2,29.54,29.12,29.48,127007600,0.178535711,0.384101511,0.009158752
1/9/17,29.49,29.86,29.48,29.75,134247792,0.164696691,0.405997591,0.001008403
1/10/17,29.69,29.84,29.57,29.78,97848208,0.10173495,0.2959165,0.005372733
1/11/17,29.68,29.98,29.65,29.94,110354368,0.148555545,0.333738134,-0.004342017
1/12/17,29.72,29.82,29.55,29.81,108344880,0.108282039,0.327660959,-0.00167729
1/13/17,29.78,29.91,29.7,29.76,104447792,0.076607767,0.315875229,0.008064516
1/17/17,29.59,30.06,29.55,30,137759376,0.231408729,0.416617466,0
1/18/17,30,30.12,29.93,30,94851840,0.068328252,0.286854763,-0.001666667
1/19/17,29.85,30.02,29.84,29.95,102389168,0.074330344,0.309649455,0.001669449
1/20/17,30.11,30.11,29.93,30,130391568,0.076607767,0.394335443,0.000666667
1/23/17,30,30.2,29.94,30.02,88200872,0.096953597,0.266740637,-0.000999334
1/24/17,29.89,30.02,29.88,29.99,92844152,0.061032778,0.280783032,0.016005335
1/25/17,30.11,30.52,30.07,30.47,130346688,0.203761503,0.394199715,0.000328192
1/26/17,30.42,30.61,30.4,30.48,105350304,0.081967982,0.318604642,0.000328084
1/27/17,30.54,30.59,30.4,30.49,82251776,0.070178344,0.248749141,-0.002623811
1/30/17,30.23,30.41,30.16,30.41,121510016,0.110312057,0.367475495,-0.002301874
1/31/17,30.29,30.35,30.16,30.34,196803968,0.07566373,0.595182504,0.06097561
2/1/17,31.76,32.62,31.75,32.19,447940160,0.358817502,1.354678713,-0.001863933
2/2/17,31.99,32.35,31.95,32.13,134841648,0.156444878,0.407793555,0.004357298
2/3/17,32.08,32.3,32.04,32.27,98029200,0.11388042,0.296463864,0.00929656
2/6/17,32.28,32.62,32.23,32.57,107383696,0.171828403,0.324754108,0.009517961
2/7/17,32.63,33.02,32.61,32.88,152735360,0.172409396,0.461908441,0.003953771
2/8/17,32.84,33.05,32.8,33.01,92016288,0.106887792,0.278279372,0.002726447
2/9/17,32.91,33.11,32.78,33.1,113399440,0.137931142,0.342947164,-0.002114804
2/10/17,33.12,33.23,33.01,33.03,80261832,0.086998563,0.242731072,0.008779897
2/13/17,33.27,33.45,33.19,33.32,92141680,0.094439134,0.278658588,0.013205282
2/14/17,33.37,33.77,33.31,33.76,132904896,0.213585463,0.401936351,0.003554502
2/15/17,33.88,34.07,33.66,33.88,142492400,0.145150784,0.430931268,-0.001180638
2/16/17,33.92,33.98,33.71,33.84,90338224,0.101087833,0.273204504,0.002659574
2/17/17,33.77,33.96,33.77,33.93,88792784,0.088140513,0.268530721,0.007073386
2/21/17,34.06,34.19,33.99,34.17,98028624,0.081662415,0.296462122,0.003219198
2/22/17,34.11,34.28,34.03,34.28,83347728,0.108742816,0.252063563,-0.004375729
2/23/17,34.34,34.37,34.08,34.13,83152744,0.126688595,0.251473885,0.000878992
2/24/17,33.98,34.16,33.82,34.16,87106336,0.141774469,0.263430497,0.00204918
2/27/17,34.28,34.36,34.07,34.23,81029704,0.105948101,0.245053302,0.000584283
2/28/17,34.27,34.36,34.17,34.25,93931440,0.067592529,0.284071252,0.020437956
3/1/17,34.47,35.04,34.4,34.95,145658336,0.282886903,0.440505819,-0.006008584
3/2/17,35,35.07,34.69,34.74,104843936,0.162864975,0.317073263,0.006044905
3/3/17,34.7,34.96,34.65,34.95,86284480,0.141155942,0.260945007,-0.003147353
3/6/17,34.84,34.94,34.65,34.84,87000176,0.104970234,0.263109444,0.001148106
3/7/17,34.77,34.99,34.7,34.88,69785184,0.110113578,0.21104717,-0.003727064
3/8/17,34.74,34.95,34.7,34.75,74828944,0.097082439,0.226300713,-0.002302158
3/9/17,34.69,34.7,34.26,34.67,88623616,0.185067555,0.268019117,0.003172772
3/10/17,34.81,34.84,34.66,34.78,78451200,0.068328252,0.237255286,0.000575043
3/13/17,34.71,34.86,34.7,34.8,69686864,0.06609652,0.210749827,-0.001436782
3/14/17,34.83,34.91,34.71,34.75,61236260,0.076811457,0.185193169,0.010647482
3/15/17,34.85,35.19,34.76,35.12,102767096,0.17958285,0.3107924,0.00142369
3/16/17,35.18,35.26,35.06,35.17,76927992,0.071195154,0.232648739,-0.004833665
3/17/17,35.25,35.25,34.97,35,175539808,0.13292385,0.530874573,0.010571429
3/20/17,35.1,35.38,35.06,35.37,86168152,0.148218589,0.260593203,-0.011591744
3/21/17,35.53,35.7,34.93,34.96,158119648,0.340514317,0.478191822,0.011155606
3/22/17,34.96,35.4,34.94,35.35,103440656,0.213351236,0.312829407,-0.003394625
3/23/17,35.31,35.4,35.15,35.23,81385200,0.092837223,0.246128407,-0.001986943
3/24/17,35.38,35.44,35.09,35.16,89582256,0.146180539,0.270918275,0.001706485
3/27/17,34.85,35.3,34.66,35.22,94300376,0.262809342,0.285187004,0.02072686
3/28/17,35.23,36.01,35.16,35.95,133499216,0.393851177,0.403733718,0.002225313
3/29/17,35.92,36.12,35.8,36.03,116759824,0.119869721,0.353109773,-0.001387732
3/30/17,36.05,36.12,35.88,35.98,84829008,0.088705975,0.25654331,-0.001945525
3/31/17,35.93,36.07,35.75,35.91,78646608,0.113468057,0.237846246,0.000278474
4/3/17,35.93,36.03,35.76,35.92,79942856,0.096695398,0.241766412,0.007516704
4/4/17,35.81,36.22,35.79,36.19,79565416,0.202900838,0.240624943,-0.00497375
4/5/17,36.05,36.37,35.95,36.01,110871416,0.162711401,0.335301812,-0.002777006
4/6/17,36.07,36.13,35.86,35.91,84596136,0.110989864,0.255839049,-0.001949318
4/7/17,35.93,36.05,35.82,35.84,66688792,0.090829511,0.201682937,-0.001395089
4/10/17,35.9,35.97,35.73,35.79,75733584,0.093374247,0.229036562,-0.010617491
4/11/17,35.73,35.84,35.02,35.41,121517504,0.318982758,0.367498141,0.001129624
4/12/17,35.4,35.54,35.25,35.45,81400000,0.10511898,0.246173166,-0.005359661
4/13/17,35.48,35.59,35.26,35.26,71291520,0.142894192,0.215602692,0.00567215
4/17/17,35.37,35.47,35.22,35.46,66328376,0.100249688,0.200592952,-0.004512126
4/18/17,35.35,35.51,35.28,35.3,58790176,0.09027735,0.177795623,-0.00368272
4/19/17,35.47,35.5,35.11,35.17,69313504,0.174122801,0.209620697,0.012510662
4/20/17,35.3,35.73,35.29,35.61,93278248,0.192272593,0.282095843,-0.00112328
4/21/17,35.61,35.67,35.46,35.57,69283712,0.076607767,0.209530598,0.009558617
4/24/17,35.88,35.99,35.8,35.91,68537328,0.068007353,0.207273354,0.006126427
4/25/17,35.98,36.23,35.97,36.13,75486000,0.10848387,0.228287808,-0.005812344
4/26/17,36.12,36.15,35.84,35.92,80164960,0.131029577,0.242438108,0.000835189
