Date,Open,High,Low,Close,Volume,Volatility,Relative Volume,PCT
1/3/17,37.9,37.94,37.38,37.68,70421320,0.222429764,0.486086145,0.00477707
1/4/17,37.92,37.98,37.71,37.86,50210520,0.100343161,0.346580242,0.030639197
1/5/17,38.08,39.12,38.01,39.02,116601360,0.514313863,0.804845828,0.019989749
1/6/17,39.12,39.97,38.92,39.8,119724680,0.442344605,0.826404676,0.001256281
1/9/17,39.9,40.09,39.59,39.85,68922176,0.178518206,0.47573824,-0.001254705
1/10/17,39.83,39.9,39.48,39.8,51167380,0.161458199,0.353185008,0.003768844
1/11/17,39.68,39.98,39.48,39.95,59855820,0.20535031,0.413157334,0.018272841
1/12/17,40.02,40.71,39.98,40.68,97478440,0.34794935,0.672849062,0.004424779
1/13/17,40.72,41.08,40.57,40.86,75838896,0.18779976,0.523481193,-0.009055311
1/17/17,40.78,40.8,40.17,40.49,73410576,0.256417628,0.506719611,-0.002963695
1/18/17,40.48,40.59,40.21,40.37,47084020,0.140423467,0.324999443,0.00198167
1/19/17,40.5,40.68,40.37,40.45,50815680,0.113798067,0.350757384,-0.000741656
1/20/17,40.76,40.8,40.31,40.42,67523920,0.211586271,0.466086719,0.011627907
1/23/17,40.34,40.92,40.25,40.89,55949480,0.30683872,0.386193656,0.005624847
1/24/17,41.1,41.2,40.73,41.12,59434800,0.18143525,0.410251225,0.017266537
1/25/17,41.29,41.87,41.26,41.83,80461560,0.288042966,0.555389327,0.003107817
1/26/17,41.78,42.19,41.65,41.96,71726464,0.202792998,0.495094957,-0.004051478
1/27/17,41.95,41.98,41.47,41.79,59974000,0.202407386,0.413973076,-0.006460876
1/30/17,41.65,41.67,40.82,41.52,74946720,0.348317384,0.51732291,-0.008429672
1/31/17,41.19,41.35,40.98,41.17,62743920,0.131220235,0.433092566,0.010930289
2/1/17,41.46,41.69,41.25,41.62,77003616,0.169189243,0.531520722,0.009130226
2/2/17,41.83,42.12,41.41,42,147009840,0.268793601,1.014741649,-0.03547619
2/3/17,40.34,40.91,40.2,40.51,217375456,0.266176633,1.500443295,-0.003209084
2/6/17,40.49,40.54,40.15,40.38,77946016,0.150166574,0.538025678,0.005943536
2/7/17,40.47,40.81,40.38,40.62,69321824,0.162941707,0.478496827,0.009108813
2/8/17,40.63,41.07,40.62,40.99,57159700,0.204496332,0.394547251,0.001951696
2/9/17,41.08,41.25,40.99,41.07,49698960,0.094703485,0.343049177,0.007304602
2/10/17,41.19,41.4,41.14,41.37,48592180,0.111915146,0.335409581,0.011119168
2/13/17,41.58,42.15,41.43,41.83,83452360,0.272798002,0.576033451,-0.000239063
2/14/17,41.85,41.92,41.57,41.82,55848840,0.132098448,0.385498984,0.007412721
2/15/17,41.7,42.14,41.64,42.13,59377060,0.233492505,0.409852672,0.001898884
2/16/17,42.09,42.25,41.97,42.21,54293340,0.109544512,0.37476208,0.000947643
2/17/17,42.1,42.36,42.04,42.25,62245500,0.125573684,0.429652201,0.013491124
2/21/17,42.44,42.9,42.36,42.82,70154840,0.233452351,0.484246755,-0.000934143
2/22/17,42.85,42.92,42.61,42.78,52339420,0.115108644,0.361275064,-0.00397382
2/23/17,42.88,43.04,42.4,42.61,69239680,0.245903945,0.477929825,-0.008214034
2/24/17,42.23,42.29,41.89,42.26,73759264,0.161612964,0.509126445,0.004022717
2/27/17,42.12,42.62,41.98,42.43,54272540,0.251731504,0.374618507,-0.004242281
2/28/17,42.57,42.7,42.1,42.25,55874180,0.240468293,0.385673895,0.009467456
3/1/17,42.65,42.74,42.45,42.65,55201660,0.106154369,0.381031797,-0.004689332
3/2/17,42.65,42.74,42.36,42.45,42641960,0.151822265,0.294337936,0.000942285
3/3/17,42.36,42.6,42.31,42.49,39031500,0.11335784,0.269416582,-0.003765592
3/6/17,42.26,42.42,42.06,42.33,52207400,0.132547161,0.36036379,-0.000708717
3/7/17,42.27,42.42,42.19,42.3,44951080,0.082613558,0.310276734,0.005200946
3/8/17,42.4,42.65,42.34,42.52,45766340,0.118822346,0.315904101,0.003057385
3/9/17,42.55,42.82,42.52,42.65,40963740,0.117153745,0.282753951,-0.0007034
3/10/17,42.85,42.87,42.59,42.62,48728680,0.12813567,0.336351778,0.002580948
3/13/17,42.59,42.78,42.59,42.73,38193440,0.084372685,0.263631838,-0.002340276
3/14/17,42.68,42.69,42.38,42.63,42611720,0.126194295,0.294129203,0.000469153
3/15/17,42.72,42.72,42.36,42.65,51243520,0.148555545,0.353710568,0.000468933
3/16/17,42.77,42.77,42.53,42.67,36845920,0.098361578,0.254330524,-0.001171783
3/17/17,42.67,42.69,42.53,42.62,67688064,0.061796035,0.46721973,0.005396527
3/20/17,42.58,42.89,42.55,42.85,45654540,0.153521171,0.315132397,-0.016102684
3/21/17,42.94,43.14,42.07,42.16,87657040,0.468954955,0.605056432,0.0056926
3/22/17,42.02,42.47,41.95,42.4,53173380,0.227705951,0.367031508,-0.000707547
3/23/17,42.41,42.54,42.24,42.37,39059280,0.107004673,0.269608335,-0.002124144
3/24/17,42.58,42.59,42.18,42.28,42765380,0.181021408,0.295189847,0.001419111
3/27/17,41.9,42.52,41.67,42.34,55115500,0.338627745,0.380437074,0.010864431
3/28/17,42.59,42.92,42.51,42.8,60832660,0.163171689,0.419900013,0.021495327
3/29/17,42.95,43.82,42.95,43.72,89715400,0.411521567,0.61926435,0.002287283
3/30/17,43.75,43.85,43.58,43.82,55254600,0.104642248,0.381397218,0.011638521
3/31/17,43.85,44.52,43.83,44.33,79152240,0.300197851,0.54635169,0.005639522
4/3/17,44.4,44.67,44.27,44.58,68446560,0.155402703,0.47245528,0.017048004
4/4/17,44.58,45.43,44.51,45.34,99693120,0.421930089,0.688135985,0.00264667
4/5/17,45.54,46.19,45.28,45.46,150167392,0.343684085,1.036536786,-0.012098548
4/6/17,45.69,45.86,44.72,44.91,126881296,0.488390213,0.875803521,-0.003785348
4/7/17,44.98,45,44.47,44.74,74218440,0.214985465,0.512295927,0.013634332
4/10/17,44.98,45.43,44.95,45.35,63686020,0.21463632,0.439595451,-0.005071665
4/11/17,45.35,45.56,44.88,45.12,60254860,0.253906971,0.415911724,-0.006870567
4/12/17,45.15,45.2,44.76,44.81,49122800,0.196596033,0.339072208,-0.012943539
4/13/17,44.57,44.75,44.22,44.23,63491660,0.226646752,0.438253873,0.019669907
4/17/17,44.38,45.12,44.38,45.1,57093460,0.365068487,0.394090027,0.001995565
4/18/17,45.05,45.48,45.04,45.19,59984760,0.177623197,0.414047347,-0.005089622
4/19/17,45.39,45.52,44.87,44.96,57404840,0.275726314,0.39623934,0.003113879
4/20/17,44.98,45.27,44.81,45.1,56288820,0.168077363,0.388535965,-0.003769401
4/21/17,45.13,45.18,44.84,44.93,48409880,0.139821315,0.334151248,0.009793011
4/24/17,45.43,45.5,45.19,45.37,62457860,0.114972823,0.431118025,0.00022041
4/25/17,45.35,45.47,45.15,45.38,67612784,0.11691343,0.466700106,0.001762891
4/26/17,45.52,45.79,45.38,45.46,52178960,0.154008928,0.360167482,0.010118786
4/27/17,45.72,46.09,45.61,45.92,106110864,0.184458667,0.732434734,0.007186411
4/28/17,47.44,47.48,46.22,46.25,147293616,0.612755049,1.016700425,0.025081081
5/1/17,46.39,47.72,46.39,47.41,109330880,0.597635968,0.754661031,-0.001265556
5/2/17,47.33,47.51,47.07,47.35,76976704,0.157718103,0.531334961,-0.006335797
5/3/17,47.3,47.3,46.8,47.05,71653720,0.207289049,0.494592838,-0.003613177
5/4/17,47.24,47.25,46.71,46.88,48367620,0.232916294,0.333859546,-0.00362628
5/5/17,47.03,47.04,46.52,46.71,57327940,0.220510771,0.395708535,0.015842432
5/8/17,47.05,47.45,46.96,47.45,68314624,0.224763765,0.471544587,0.004004215
5/9/17,47.64,47.89,47.51,47.64,65242260,0.137658999,0.450337464,-0.003988245
5/10/17,47.67,47.69,47.25,47.45,41930240,0.179652442,0.289425258,-0.001475237
5/11/17,47.26,47.51,47.04,47.38,43881400,0.172970373,0.302893223,0.014563107
5/12/17,47.73,48.14,47.58,48.07,72517136,0.232486559,0.500552604,-0.003536509
5/15/17,47.94,48.16,47.8,47.9,85412496,0.131529464,0.589563372,0.008350731
5/16/17,48.05,48.5,48.05,48.3,62521020,0.188745861,0.431553989,-0.02194617
5/17/17,47.73,48.02,47.21,47.24,102911560,0.340954542,0.710351403,0.014394581
5/18/17,47.24,48.14,47.24,47.92,78786944,0.402585395,0.543830219,0.001460768
5/19/17,48.14,48.45,47.99,47.99,79441776,0.18779976,0.548350225,0.011252344
5/22/17,48.2,48.57,48.15,48.53,52844340,0.188861722,0.364760296,0.001030291
5/23/17,48.75,48.76,48.34,48.58,48311880,0.170202086,0.333474799,0.009057225
5/24/17,48.8,49.05,48.51,49.02,49261040,0.216159663,0.340026416,0.013259894
5/25/17,49.24,49.95,49.11,49.67,96440640,0.335736132,0.665685604,0.002415945
5/26/17,49.75,49.93,49.46,49.79,69383080,0.170934929,0.478919649,0.001004218
5/30/17,49.83,50.06,49.78,49.84,65261380,0.107790306,0.45046944,-0.002207063
5/31/17,50,50.01,49.11,49.73,78262304,0.365538986,0.540208869,0.001407601
6/1/17,49.93,49.95,49.57,49.8,49096820,0.151389399,0.33889288,0.010843373
6/2/17,49.95,50.42,49.78,50.34,75046560,0.265929972,0.51801206,0.004568931
6/5/17,50.36,50.66,50.18,50.57,54397180,0.18659783,0.37547884,-0.008305319
6/6/17,50.6,50.83,50.06,50.15,66928640,0.317253842,0.461977773,0.006979063
6/7/17,50.3,50.51,50.1,50.5,56460820,0.168133132,0.389723202,0.00019802
6/8/17,50.6,50.68,50.31,50.51,55357140,0.137931142,0.382105004,-0.031478915
6/9/17,50.62,50.65,46.35,48.92,152953840,1.753774501,1.055770361,-0.01369583
6/12/17,48.35,48.8,47.25,48.25,188944656,0.566099594,1.304198493,0.016373057
6/13/17,48.9,49.23,48.3,49.04,91600224,0.34794935,0.632274427,-0.004486134
6/14/17,49.43,49.52,48.34,48.82,79498000,0.479654824,0.548738313,-0.012494879
6/15/17,47.94,48.29,47.54,48.21,107477296,0.292959042,0.741866589,0.02447625
6/16/17,49.8,49.99,49.1,49.39,229453248,0.347347089,1.583810766,0.007491395
6/19/17,50.85,50.85,49.49,49.76,100868160,0.619894144,0.696246748,-0.00261254
6/20/17,49.9,50.24,49.6,49.63,81536560,0.257524271,0.56280956,0.00967157
6/21/17,49.94,50.14,49.63,50.11,58449460,0.202546291,0.403449874,-0.000997805
6/22/17,50.11,50.35,49.86,50.06,45068660,0.174427635,0.311088335,0.002596884
6/23/17,50.13,50.23,49.9,50.19,57582900,0.127744863,0.397468407,-0.009762901
6/26/17,50.42,50.49,49.6,49.7,67723136,0.404807053,0.467461816,-0.017303823
6/27/17,49.53,49.94,48.8,48.84,75647776,0.480123682,0.522161979,0.013923014
6/28/17,48.93,49.53,48.46,49.52,74751344,0.447045859,0.515974319,-0.01453958
6/29/17,48.95,49.38,48.26,48.8,86059360,0.400460672,0.594028379,-0.008196721
6/30/17,49.01,49.17,48.38,48.4,67806896,0.354612465,0.468039972,-0.014876033
7/3/17,48.64,48.72,47.55,47.68,58182160,0.535227755,0.401604824,0.018666107
7/5/17,48.08,48.75,47.76,48.57,73059104,0.392109679,0.504293561,-0.006382541
7/6/17,48.23,48.72,47.95,48.26,65192260,0.276134025,0.449992337,0.014090344
7/7/17,48.48,49.01,48.46,48.94,52867740,0.253808491,0.364921815,0.017981201
7/10/17,49.25,49.97,49.17,49.82,70925360,0.347733734,0.489565302,-0.002207949
7/11/17,49.65,49.8,49.19,49.71,59654520,0.235624171,0.411767852,0.01247234
7/12/17,50.03,50.43,49.91,50.33,72171480,0.212308737,0.498166698,-0.00596066
7/13/17,50.23,50.34,49.8,50.03,57615380,0.205791156,0.397692601,0.00119928
7/14/17,50.12,50.22,49.84,50.09,42049380,0.139888348,0.290247627,0.008185267
7/17/17,50.23,50.74,50.19,50.5,74251744,0.222317341,0.512525809,0.014257426
7/18/17,50.3,51.3,50.2,51.22,80152480,0.50702564,0.553255889,0.002342835
7/19/17,51.25,51.58,51.12,51.34,59279280,0.167984374,0.409177742,0.001947799
7/20/17,51.58,51.75,51.13,51.44,61949740,0.227431308,0.427610705,-0.00311042
7/21/17,51.06,51.3,50.55,51.28,54691540,0.302272642,0.377510672,0.013065523
7/24/17,51.42,52.15,51.37,51.95,65760400,0.335512667,0.453913947,0.000769971
7/25/17,51.9,52.17,51.62,51.99,48952580,0.198620241,0.337897257,0.012502404
7/26/17,52.16,52.66,52.16,52.64,58425060,0.24510202,0.403281452,-0.006458967
7/27/17,53.48,54.17,52.01,52.3,219834304,0.875928079,1.517415597,-0.024856597
7/28/17,50.61,51.64,50.05,51,154188400,0.579158873,1.064291964,-0.031568627
7/31/17,50.95,50.95,49.35,49.39,147041264,0.790126572,1.014958555,0.008503746
8/1/17,49.81,50.32,49.58,49.81,91451520,0.270832051,0.631247991,-0.000401526
