Date,Open,High,Low,Close,Volume,Volatility,Relative Volume,PCT
1/3/17,116.03,117.84,115.51,116.86,20663912,0.882014739,0.667293029,0.015659764
1/4/17,117.55,119.66,117.29,118.69,19630932,0.94660908,0.63393534,0.016682113
1/5/17,118.86,120.95,118.32,120.67,19492150,1.130641411,0.629453697,0.022706555
1/6/17,120.98,123.88,120.03,123.41,28545264,1.614101917,0.921802981,0.012073576
1/9/17,123.55,125.43,123.04,124.9,22880360,0.970489567,0.738868067,-0.004403523
1/10/17,124.82,125.5,124.28,124.35,17324590,0.486743002,0.559457383,0.013992762
1/11/17,124.35,126.12,124.06,126.09,18356524,0.955575743,0.592781294,0.004203347
1/12/17,125.61,126.73,124.8,126.62,18653914,0.78977845,0.602384813,0.013583952
1/13/17,127.49,129.27,127.37,128.34,24884324,0.763261914,0.803581429,-0.003662147
1/17/17,128.04,128.34,127.4,127.87,15294460,0.340394991,0.493899051,0.000391022
1/18/17,128.41,128.43,126.84,127.92,13145852,0.645174395,0.424514748,-0.002892433
1/19/17,128.23,128.35,127.45,127.55,12195465,0.398842074,0.393824208,-0.003998432
1/20/17,128.1,128.48,126.78,127.04,19097224,0.708942875,0.61670048,0.014877204
1/23/17,127.31,129.25,126.95,128.93,16593563,0.99468588,0.535850565,0.003412705
1/24/17,129.38,129.9,128.38,129.37,15162724,0.550107944,0.489644943,0.016309809
1/25/17,130,131.74,129.77,131.48,18777314,0.871188125,0.60636973,0.009887435
1/26/17,131.63,133.14,131.44,132.78,20020140,0.726889778,0.646503908,-0.004518753
1/27/17,132.68,132.95,131.08,132.18,19539514,0.715135477,0.630983208,-0.009078529
1/30/17,131.58,131.58,129.6,130.98,18956096,0.808749034,0.612143079,-0.005038937
1/31/17,130.17,130.66,129.52,130.32,19790484,0.413846288,0.639087701,0.02232965
2/1/17,132.25,133.49,130.68,133.23,50139776,1.10196132,1.619147574,-0.017938903
2/2/17,133.22,135.49,130.4,130.84,54366448,2.038594798,1.755638126,0.001070009
2/3/17,131.24,132.85,130.76,130.98,24804890,0.821716952,0.801016292,0.008245534
2/6/17,130.98,132.06,130.3,132.06,17058494,0.749599893,0.550864431,-0.001665909
2/7/17,132.24,133,131.66,131.84,14596449,0.515242661,0.471358408,0.017900485
2/8/17,132.6,134.44,132.44,134.2,22390556,0.90575935,0.723050985,-0.000447094
2/9/17,134.49,134.5,133.31,134.14,16470609,0.484097098,0.531880051,0.000372745
2/10/17,134.1,134.94,133.68,134.19,15061939,0.454168196,0.486390326,-0.001043297
2/13/17,134.7,134.7,133.7,134.05,13526221,0.430660829,0.436797881,-0.001491981
2/14/17,134.1,134.23,132.55,133.85,14364877,0.667958644,0.463880328,-0.00306313
2/15/17,133.45,133.7,132.66,133.44,13226534,0.390856431,0.427120186,0.002997602
2/16/17,133.07,133.87,133.02,133.84,12831092,0.405524352,0.414350305,-0.002316198
2/17/17,133.5,134.09,133.17,133.53,12276490,0.330482602,0.396440722,0.001422901
2/21/17,133.5,133.91,132.9,133.72,14759109,0.379563894,0.476611135,0.017947951
2/22/17,133.6,136.79,133.46,136.12,27360092,1.482386168,0.883530604,-0.005583309
2/23/17,135.89,136.12,134.33,135.36,18422548,0.689655711,0.594913386,0.000591017
2/24/17,134.16,135.62,134.16,135.44,12625742,0.687949853,0.407719004,0.007161843
2/27/17,135.26,137.18,135.02,136.41,14306668,0.875253535,0.462000604,-0.006377832
2/28/17,136.79,136.81,134.75,135.54,16112092,0.873394956,0.520302577,0.013870444
3/1/17,136.47,137.48,136.3,137.42,16257010,0.536300988,0.524982367,-0.004802794
3/2/17,137.09,137.82,136.31,136.76,12294804,0.55093103,0.39703213,0.002997953
3/3/17,136.63,137.33,136.08,137.17,11160563,0.491191154,0.360404452,0.001822556
3/6/17,136.88,137.83,136.51,137.42,12748179,0.50433124,0.411672822,-0.000873235
3/7/17,137.03,138.37,136.99,137.3,13527132,0.5598828,0.4368273,0.003058995
3/8/17,137.15,137.99,137.05,137.72,10184514,0.390984335,0.328885218,0.003775777
3/9/17,137.72,138.57,137.4,138.24,15535259,0.452679522,0.501675096,0.003978588
3/10/17,138.91,139.49,138.22,138.79,16314113,0.451019678,0.526826376,0.005836155
3/13/17,138.71,139.68,138.67,139.6,10955450,0.476051468,0.353780805,-0.002005731
3/14/17,139.46,139.46,138.52,139.32,12944018,0.391024296,0.417996988,0.002871088
3/15/17,139.29,140.1,138.49,139.72,19344826,0.598456348,0.624696211,0.001932436
3/16/17,140.2,140.25,139.73,139.99,13612942,0.20510668,0.439598334,-0.001071505
3/17/17,140.34,140.34,139.7,139.84,20592818,0.289266313,0.664997213,0.000715103
3/20/17,139.71,140.19,139.25,139.94,12099471,0.346148451,0.390724305,-0.010218665
3/21/17,141.15,142.31,138.4,138.51,29894784,1.688525614,0.965382594,0.007797271
3/22/17,137.93,139.79,137.6,139.59,17055448,0.972120749,0.550766068,-0.00042983
3/23/17,139.48,140.39,139.09,139.53,13022801,0.474730187,0.420541102,0.005805203
3/24/17,140.08,141.02,139.76,140.34,16664683,0.463680925,0.53814722,-0.000142511
3/27/17,139.05,140.65,138.77,140.32,12800544,0.802227368,0.413363828,0.010262258
3/28/17,140.36,141.95,140.01,141.76,14679436,0.846788049,0.47403828,0.006278217
3/29/17,141.99,142.86,141.43,142.65,16527574,0.563665459,0.533719603,-0.00168244
3/30/17,142.4,142.95,141.85,142.41,12403997,0.388932835,0.400558264,-0.002527912
3/31/17,142.31,142.63,141.89,142.05,11478265,0.280178515,0.3706639,0.001619148
4/3/17,141.93,142.47,140.82,142.28,13563960,0.639159604,0.438016575,-0.003865617
4/4/17,141.86,142.09,141.27,141.73,12948599,0.299113273,0.418144921,0.00084668
4/5/17,142.26,143.44,141.29,141.85,17158060,0.789208464,0.554079684,-0.004793796
4/6/17,142.11,142.22,140.91,141.17,15103426,0.571286924,0.487730052,-0.002762627
4/7/17,141.2,141.55,140.24,140.78,11818341,0.488690853,0.381645865,0.001846853
4/10/17,141,141.43,140.63,141.04,9039366,0.283240181,0.291905323,-0.00794101
4/11/17,140.8,141.03,138.81,139.92,16638087,0.872496418,0.537288364,-0.00242996
4/12/17,139.72,140.4,139.44,139.58,11612456,0.368612262,0.374997287,-0.001361227
4/13/17,139.62,140.58,139.33,139.39,10965614,0.50254353,0.354109027,0.014563455
