Date,Open,High,Low,Close,Volume,Volatility,Relative Volume,PCT
1/3/17,800.62,811.43,796.89,808.01,1959033,5.767058934,0.541094015,-0.000297026
1/4/17,809.89,813.43,804.11,807.77,1515339,3.379423028,0.418543671,0.006499375
1/5/17,807.5,813.74,805.92,813.02,1340535,3.391028605,0.370261994,0.014993481
1/6/17,814.99,828.96,811.5,825.21,2017097,7.153091989,0.557131561,0.002387271
1/9/17,826.37,830.43,821.62,827.18,1408924,3.150341251,0.389151354,-0.001414444
1/10/17,827.07,829.41,823.14,826.01,1197442,2.252136486,0.330739043,0.004660961
1/11/17,826.62,829.9,821.47,829.86,1325394,3.439086906,0.36607998,-0.000397657
1/12/17,828.38,830.38,821.01,829.53,1350308,3.714407759,0.372961342,0.001699758
1/13/17,831,834.65,829.52,830.94,1290182,1.897595518,0.356354262,-0.004188028
1/17/17,830,830.18,823.2,827.46,1440905,2.817250433,0.397984654,0.001885288
1/18/17,829.8,829.81,824.08,829.02,1027698,2.387303657,0.283854962,-0.005609032
1/19/17,829,833,823.96,824.37,1070454,3.701394163,0.295664367,0.004609581
1/20/17,829.09,829.24,824.6,828.17,1306183,1.878303756,0.360773812,0.01963365
1/23/17,831.61,845.54,828.7,844.43,2457377,7.496315762,0.678738943,0.006039577
1/24/17,846.98,851.52,842.28,849.53,1688375,3.456011972,0.466337018,0.010499923
1/25/17,853.55,858.79,849.74,858.45,1662148,3.740537227,0.459092999,-0.001712389
1/26/17,859.05,861,850.52,856.98,3493251,3.94153127,0.964852153,-0.013944316
1/27/17,859,867,841.9,845.03,3752497,10.22881561,1.036457103,-0.025087867
1/30/17,837.06,837.23,821.03,823.83,3516933,7.424043289,0.971393232,-0.004418387
1/31/17,819.5,823.07,813.4,820.19,2020180,3.520816667,0.5579831,-0.006035187
2/1/17,824,824,812.25,815.24,2251047,5.235338456,0.621749638,0.003704431
2/2/17,815,824.56,812.05,818.26,1689179,4.646758951,0.466559087,0.002285337
2/3/17,823.13,826.13,819.35,820.13,1528095,2.679379592,0.422066937,0.001816785
2/6/17,820.92,822.39,814.29,821.62,1350875,3.22625557,0.37311795,0.009262189
2/7/17,825.5,831.92,823.29,829.23,1666605,3.326127628,0.460324043,0.00078386
2/8/17,830.53,834.25,825.11,829.88,1302225,3.250256721,0.359680594,0.000216899
2/9/17,831.73,831.98,826.5,830.06,1194238,2.187959952,0.329854083,0.005770667
2/10/17,832.95,837.15,830.51,834.85,1415128,2.442063676,0.390864927,0.00492304
2/13/17,837.7,841.74,836.25,838.96,1295708,2.019039066,0.357880569,0.001275389
2/14/17,839.77,842,835.83,840.03,1363345,2.238217762,0.376562222,-0.003226075
2/15/17,838.81,841.77,836.22,837.32,1357185,2.08423847,0.374860802,0.00579229
2/16/17,838.5,842.69,837.26,842.17,1005084,2.324139626,0.27760887,0.00520085
2/17/17,841.31,846.94,839.78,846.55,1461210,3.149861108,0.40359299,0.003213041
2/21/17,847.99,852.2,846.55,849.27,1261062,2.081794598,0.348311182,0.002460937
2/22/17,848,853.79,846.71,851.36,1224889,2.785359043,0.338320032,-0.000422853
2/23/17,851.08,852.62,842.5,851,1386681,3.978718387,0.383007734,-0.003748531
2/24/17,847.65,848.36,842.96,847.81,1346189,2.172423762,0.371823655,0.002193888
2/27/17,844.95,850.67,843.01,849.67,1010333,3.189745288,0.279058668,-0.005578636
2/28/17,847.35,848.83,841.44,844.93,1383119,2.79482893,0.382023893,0.013989325
3/1/17,851.38,858,849.02,856.75,1818671,3.709672324,0.502325378,-0.008053691
3/2/17,856.31,856.49,848.72,849.85,1250938,3.580428571,0.345514887,-0.000906042
3/3/17,848.94,850.82,844.71,849.08,1006612,2.248659323,0.27803091,-0.002131719
3/6/17,846.86,848.94,841.17,847.27,1047872,2.928762537,0.289427114,0.004579414
3/7/17,847.26,853.33,845.52,851.15,1038696,3.086766107,0.28689266,0.002925454
3/8/17,853.12,856.93,851.25,853.64,1029834,2.047590047,0.284444935,0.004920107
3/9/17,853.69,860.71,852.67,857.84,1347697,3.232169357,0.372240172,0.004149958
3/10/17,862.7,864.23,857.61,861.4,1336585,2.451229283,0.369170986,0.003691665
3/13/17,860.83,867.13,860.82,864.58,1166605,2.671712934,0.32222172,0.001538319
3/14/17,863.75,867.58,860.13,865.91,1061692,2.7854387,0.293244262,0.002864039
3/15/17,867.94,869.88,861.29,868.39,1332885,3.303471659,0.368149029,0.001854006
3/16/17,870.53,872.71,867.52,870,1104452,1.846009209,0.305054773,0.002724138
3/17/17,873.68,874.42,868.37,872.37,1868252,2.33539076,0.516019881,-0.00511251
3/20/17,869.48,870.34,864.66,867.91,1542199,2.167468281,0.425962528,-0.020474473
3/21/17,870.06,873.47,847.69,850.14,2537978,11.52104379,0.701001313,-0.000399934
3/22/17,849.48,855.35,847,849.8,1366749,3.052403766,0.377502423,-0.011943987
3/23/17,841.39,841.69,833,839.65,3287669,3.512565836,0.90806945,-0.005371286
3/24/17,842,844,829.1,835.14,2105682,5.886747829,0.58159915,0.004035252
3/27/17,828.09,841.38,824.3,838.51,1935211,7.077481897,0.534514268,0.002528294
3/28/17,839.69,845.4,832.26,840.63,1519202,4.704798083,0.41961065,0.010991756
3/29/17,842.75,851.59,841.38,849.87,1457347,4.401700666,0.402526011,-0.000458894
3/30/17,851.98,852,846.77,849.48,949398,2.156992988,0.262228138,-0.00197768
3/31/17,846.83,849.56,845.24,847.8,1440982,1.565956178,0.398005922,0.010556735
4/3/17,848.75,859,847.53,856.75,1969402,4.950900802,0.543957981,-0.004878903
4/4/17,848,853,847.5,852.57,1348494,2.528273868,0.372460307,-0.004292903
4/5/17,854.71,860.59,847.52,848.91,1855153,5.178621317,0.512401876,-0.004488108
