Date,Open,High,Low,Close,Volume,Volatility,Relative Volume,PCT
1/3/17,124.96,128.19,124.31,127.49,9437856,1.637702278,0.571726277,0.015060005
1/4/17,127.49,130.17,126.55,129.41,7843559,1.449439547,0.475146981,0.018545707
1/5/17,129.22,132.75,128.9,131.81,10185516,1.647831909,0.617018011,-0.005614142
1/6/17,132.08,133.88,129.81,131.07,10657878,1.488741079,0.645632748,-0.000915541
1/9/17,131.48,131.99,129.89,130.95,5771835,0.777990199,0.34964612,-0.008094693
1/10/17,131.27,132.22,129.29,129.89,5985809,1.148398341,0.362608233,0.004696281
1/11/17,130.91,131.5,129.25,130.5,5615061,0.825257536,0.340149068,-0.010114943
1/12/17,130.63,130.85,128.5,129.18,5388880,0.983031027,0.326447479,0.034989937
1/13/17,131.15,133.93,130.58,133.7,10515015,1.490922533,0.636978396,-0.00605834
1/17/17,135.04,135.4,132.09,132.89,12220202,1.399794628,0.740275184,0.002784258
1/18/17,133.21,133.65,131.06,133.26,16168617,1.016083166,0.979462199,0.038646255
1/19/17,142.01,143.46,138.25,138.41,23203440,2.262082834,1.405617585,0.001372733
1/20/17,139.36,140.79,137.66,138.6,9497394,1.145346563,0.575332969,-0.008730159
1/23/17,138.65,139.49,137.31,137.39,7433896,0.910274684,0.450330423,0.019797656
1/24/17,138.11,140.93,137.03,140.11,7754673,1.550959381,0.469762446,-0.004210977
1/25/17,140.8,141.39,139.05,139.52,7612888,0.94347761,0.461173397,-0.004013761
1/26/17,140.45,141.21,138.51,138.96,6038313,1.093054779,0.36578882,0.025115141
1/27/17,139.46,142.49,139,142.45,8323866,1.628204533,0.50424301,-0.008634609
1/30/17,141.77,141.97,138.8,141.22,8122481,1.265681635,0.492043513,-0.003611386
1/31/17,140.55,141.83,139.7,140.71,4411631,0.758200996,0.267247706,0.000497477
2/1/17,141.2,142.41,139.3,140.78,6033422,1.111583892,0.365492533,-0.011223185
2/2/17,140.61,141.04,139.05,139.2,3462370,0.865115599,0.20974339,0.007543103
2/3/17,139.51,140.64,139.1,140.25,3512568,0.604090225,0.212784283,0.00513369
2/6/17,140,141,139.16,140.97,3552066,0.762770444,0.215176992,0.021493935
2/7/17,141.49,144.28,141.05,144,8573515,1.446798189,0.519366243,0.005138889
2/8/17,143.57,145.07,142.56,144.74,6887050,0.993742925,0.417203595,-0.004145364
2/9/17,144.98,145.09,143.58,144.14,4555119,0.621183347,0.27593992,0.004717636
2/10/17,144.68,145.3,143.97,144.82,6171936,0.476307411,0.373883432,-0.0111863
2/13/17,145.19,145.95,143.05,143.2,4790435,1.252804354,0.290194888,-0.016620112
2/14/17,143.2,144.11,140.05,140.82,8367786,1.66424908,0.506903595,0.010296833
2/15/17,140.72,142.43,140.51,142.27,5309050,0.872507163,0.321611539,-0.001827511
2/16/17,142.42,142.44,141.07,142.01,2847496,0.555450268,0.172495563,0.001478769
2/17/17,141.75,142.9,141.27,142.22,4588073,0.601851311,0.277936206,0.002671917
2/21/17,142.99,143.38,141.81,142.6,3571481,0.580624664,0.216353114,0.008835905
2/22/17,142.92,144,142.17,143.86,3481968,0.743181505,0.210930597,-0.007507299
2/23/17,144.45,144.49,141.52,142.78,4667978,1.242678559,0.28277669,0.003291778
2/24/17,141.88,143.56,141.55,143.25,3302714,0.860029069,0.200071751,0.001116928
2/27/17,143.12,143.92,142.38,143.41,3907377,0.557017729,0.236701016,-0.008925458
2/28/17,143.3,143.57,141.85,142.13,3862221,0.735471787,0.233965557,0.003658622
3/1/17,142.84,143.26,142.1,142.65,4170649,0.41685579,0.252649503,-0.021871714
3/2/17,142.15,142.7,139.09,139.53,6119945,1.577282077,0.370733922,-0.002795098
3/3/17,139.69,140.91,138.26,139.14,5401104,0.960650821,0.327187984,0.020123617
3/6/17,141,142.84,140.54,141.94,7116118,0.885324799,0.431080072,-0.003593067
3/7/17,141.99,142.4,140.38,141.43,4241037,0.758188631,0.256913466,-0.007848406
3/8/17,141.47,142.06,139.77,140.32,4092550,0.906049116,0.247918423,0.001496579
3/9/17,140.04,141.24,139.74,140.53,2652740,0.567246639,0.160697638,0.002561731
3/10/17,141.39,141.8,140.28,140.89,3318464,0.567934855,0.201025854,0.018667045
3/13/17,140.9,143.71,140.32,143.52,4922432,1.517915923,0.298191,-0.002299331
3/14/17,142.95,143.31,141.7,143.19,4660294,0.64110744,0.282311209,0.01438648
3/15/17,144.2,145.52,143.23,145.25,5987198,0.907716916,0.362692376,-0.005920826
3/16/17,145.5,146.5,144.22,144.39,5286456,0.92025472,0.32024284,0.004986495
3/17/17,144.05,145.76,143.4,145.11,6281316,0.914685738,0.380509451,0.004961753
3/20/17,145.45,146.25,144.58,145.83,3421046,0.615888586,0.207240065,-0.023383392
3/21/17,146.75,147.7,142.1,142.42,7669753,2.507671978,0.464618164,0.001614942
3/22/17,142.54,143.8,140.76,142.65,6486893,1.086976886,0.392962891,-0.005678233
3/23/17,142.14,142.89,141.26,141.84,3712625,0.587510638,0.224903333,0.001269036
3/24/17,142.36,142.8,141.58,142.02,3546599,0.447772264,0.214845813,0.014364174
3/27/17,140.83,144.39,140,144.06,4771650,1.930997152,0.289056931,0.007705123
3/28/17,144.1,146.11,143.92,145.17,4638003,0.882453965,0.280960865,0.008955018
3/29/17,145.5,147.18,144.91,146.47,3855031,0.873284032,0.233530001,0.010855465
3/30/17,146.81,148.29,146.53,148.06,4461068,0.76332742,0.2702425,-0.001688505
3/31/17,148,148.22,147.33,147.81,3888237,0.328252951,0.235541553,-0.006021243
4/3/17,146.7,148,145.74,146.92,4609336,0.803367911,0.279224276,-0.009665124
4/4/17,146.84,147.09,144.89,145.5,4368919,0.915177578,0.264660299,-0.012920962
4/5/17,146.19,146.25,143.26,143.62,4607636,1.395976361,0.279121293,0.000835538
4/6/17,144,144.14,143.01,143.74,3312410,0.435681937,0.200659115,-0.004382914
4/7/17,143.79,143.89,142.71,143.11,3040506,0.487314067,0.18418772,0.005170848
4/10/17,143.04,144.65,141.21,143.85,5807440,1.275742431,0.351802999,0.003475843
4/11/17,144.28,144.54,141.98,144.35,4621451,1.047887756,0.279958178,-0.003602355
4/12/17,144.85,145.74,143.55,143.83,4386954,0.867651284,0.265752823,-0.006326914
4/13/17,144.25,144.55,142.76,142.92,3685789,0.789208464,0.223277662,0.030296669
4/17/17,144.43,147.32,144.43,147.25,16364743,1.42771452,0.991343117,-0.026417657
4/18/17,147.34,147.4,140,143.36,19670976,3.083127471,1.191628042,-0.025111607
4/19/17,143.37,144,138.66,139.76,12395064,2.281944072,0.750867971,0.010160275
4/20/17,140.3,141.8,139.27,141.18,7248180,0.952585298,0.439080122,0.011970534
4/21/17,141.39,143.03,140.9,142.87,6824786,0.920716433,0.413431768,0.006719395
4/24/17,143.61,144.5,143.4,143.83,4800920,0.412946728,0.290830048,0.057915595
4/25/17,147.46,153.52,146.22,152.16,20674168,3.069755691,1.252399389,-0.013078339
